Name,Address,Tel,Fax,Email,URL,OB
Accessnet International S.A.,,,,,,
Adisam Telecom S.A.,,,,,,
Advanced Business Solutions International Srl,,,,,,
"Advanced Communications International Srl
",,,,,,
"Aietes Telecom Galati Filiala Tulcea
Srl",,,,,,
Alizee Srl,,,,,,
"Artelecom S.A. (Without licence carrier operator)
",,,,,,
Astral Telecom S.A.,,,,,,
Atlantic Telecom Srl,,,,,,
Atlas Telecom Network Romania Srl,,,,,,
Connet-Ro Srl,,,,,,
Cosmorom S.A.,,,,,,
Data Telecom Srl,,,,,,
Danubius Telecom S.A.,,,,,,
Dial Telecom Srl,,,,,,
"DV Company Srl 
Eastern Space Systems Srl 
Without
licence carrier
operator",,,,,,
"Eastern Space Systems Srl
Without
licence carrier
operator",,,,,,
Easy Comm Srl ,,,,,,
Euroweb Romania S.A.,,,,,,
Globtel Internet Srl,,,,,,
GTS Telecom Srl,,,,,,
Idilis S.A.,,,,,,
Ines Group Srl,,,,,,
"International Communications
Systems Srl",,,,,,
Interpoint Srl,,,,,,
"Intersat Srl 
Without
licence carrier
operator",,,,,,
Iristel România Srl,,,,,,
"KTEL Center Srl 
Without
licence carrier
operator",,,,,,
Magic Telecom Srl,,,,,,
NECC Telecom România Srl,,,,,,
Media SAT S.A.,,,,,,
Mobifon S.A.,,,,,,
Net-Connect Internet Srl,,,,,,
Netmaster Communications Srl,,,,,,
Netpoint Srl,,,,,,
Nevi Cons Srl,,,,,,
Nobel România Srl,,,,,,
"Oltenia Network Cable Srl 
Without
licence carrier
operator",,,,,,
Orange Romania S.A.,,,,,,
Orizont Group Srl,,,,,,
Parlatel Srl (former Binet Srl),,,,,,
PCNET Data Network S.A.,,,,,,
Plug it International Srl,,,,,,
Romania Data Systems S.A.,,,,,,
S.C. ROMTELECOM S.A.,"Regulatory Affairs Division
City Gate, North Tower
3 Piata Presei Libere, Sector 1
013702 BUCHAREST 1",+40 21 400 5229,+40 21 400 5641,anca.ciocirlan@romtelecom.ro,www.romtelecom.ro,
Societatea Nationala,,,,,,
Radiocomunicatii S.A.,,,,,,
Telcor Communications Srl,,,,,,
"Tele 2000 Srl 
Without
licence carrier
operator",,,,,,
Telecomunicatii CFR S.A.,,,,,,
Telemobil S.A.,,,,,,
"Tour Imex Srl 
Without
licence carrier
operator",,,,,,
"Transmisii Data Srl 
Without
licence carrier
operator",,,,,,
Trans Tel Services Srl,,,,,,
"Trustul Constructii Montaj Centrale
Nucleare S.A.
Without
licence carrier
operator",,,,,,
VIP Plus Computers Srl,,,,,,
Voxline Communication Srl,,,,,,
World Telecom Network Srl,,,,,,
