Name,Address,Tel,Fax,Email,URL,OB
186K Limited (a Lattice Group Company),,,,,,
ACC Long Distance UK Ltd ACC,,,,,,
Advanced Business Services Limited,,,,,,
American Telemedia Limited,,,,,,
AT&T Commmunications (UK) Ltd,,,,,,
AXS Telecom UK Limited,,,,,,
British Telecommunications Public Ltd. Co. (BT Plc),"BT Centre
81 Newgate Street
LONDON EC1A 7AJ
United Kingdom",+44 20 7356 5000,+44 20 7356 5520,linda.j.matthews@bt.com,,
Cable and Wireless Guernsey Limited ,,,,,,
CableTel (UK) Ltd ,,,,,,
Carrier One Limited ,,,,,,
"Carrier Manager UK, Telecom New Zealand Limited",,,,,,
Cherry Communications Inc. ,,,,,,
Cignal Global Communications UK Limited,,,,,,
COLT Telecommunications,,,,,,
Communicorp (UK) Ltd ,,,,,,
Concert Communications Company ,,,,,,
Convergence Ventures Ltd ,,,,,,
Data Marine Systems Ltd ,,,,,,
Easynet Group PPlc ,,,,,,
Energis Communications Ltd ,,,,,,
Esat Telecommunications Ltd ,,,,,,
Esprit Telecom UK Ltd ,,,,,,
Eurobell (Holdings) Plc,,,,,,
Eutotunnel ,,,,,,
FaciliCom International (UK) Ltd ,,,,,,
Farland Services UK Ltd ,,,,,,
First Telecom plc ,,,,,,
Frontel Newco Ltd ,,,,,,
GC Pan European Crossing UK Limited ,,,,,,
Gentel London ,,,,,,
Global One Communications Holding Ltd ,,,,,,
GT UK Limited,,,,,,
Hermes Europe Railtel B.V.,,,,,,
Hitachi Telecom (USA) Inc.,,,,,,
Hutchison 3G UK Ltd ,,,,,,
ICO Services Ltd ,,,,,,
Ibercom Limited,,,,,,
IDT Global Ltd,,,,,,
IFC Global (UK) Ltd,,,,,,
Incom (UK) Ltd,,,,,,
Inmarsat Ltd.,"99 City Road
LONDON EC1Y 1AX
United Kingdom
",+44 207 728 1475,+44 207 728 1778,jonas_enerberg@inmarsat.com ,www.inmarsat.com,
Inquam Telecom (Holdings) Limited ,,,,,,
International Telecom plc ,,,,,,
INTEROUTE ,,,,,,
ITG (UK) Ltd ,,,,,,
IXNET UK Ltd ,,,,,,
Izenkom Limited ,,,,,,
JT (Jersey) Limited,"No. 1 The Forum
Grenville Street
PO Box 53
ST. HELIER, Jersey JE4 8PB
United Kingdom",+44 1534 882 803,+44 1534 882 339,daragh.mcdermott@jerseytelecom.com,,
KDD (Europe) Ltd,,,,,,
KPN Telecom UK Ltd,,,,,,
LCI Telecom UK Ltd,,,,,,
Long Distance International,,,,,,
Communications Ltd,,,,,,
MCI Telecommunications Ltd,,,,,,
MFS Communications Ltd,,,,,,
MTU Inform Europe Ltd,,,,,,
N.E.T.s,,,,,,
NorSea Com A/S,,,,,,
North American Gateway,,,,,,
O2 (UK) Limited,,,,,,
Orange Corporate Services Ltd,"800 Park Avenue, Aztec West
BRISTOL, Almondsbury BS32 4TR
United Kingdom",+44 7973 963 519,+44 7973 987 883,nick.sampson@orange-ftrgroup.com,www.orange.com,
Pacific Gateway Exchange (UK) Ltd,,,,,,
PLDncompass,,,,,,
Primetec (UK) Ltd,,,,,,
PT-1 Communications,,,,,,
Primus Telecommunications Ltd,,,,,,
Racal Telecommunications Ltd,,,,,,
RSL Communications Ltd,,,,,,
ScottishPower Telecommunications Ltd,,,,,,
Skylight Holdings INC.,,,,,,
Sonic Telecommunications International Ltd,,,,,,
Spacetel International Ltd,,,,,,
STAR Europe Ltd,,,,,,
Storm Telecommunications Limited,,,,,,
Swisscom (UK) Ltd,,,,,,
T-Mobile (UK) Limited,,,,,,
Tele2 Communications Services Ltd,,,,,,
TeleBermuda International (UK) Ltd,,,,,,
Telecom (Ireland) Ltd,,,,,,
Telecom One Limited,,,,,,
Telecom New Zealand Limited,,,,,,
Teleglobe International (UK) Ltd,,,,,,
Telegroup UK Ltd,,,,,,
Teleport (Northern Ireland Ltd),,,,,,
Teleport London International Limited,,,,,,
Telesoft Limited,,,,,,
TeleWest Communications plc,,,,,,
Telia UK Limited,,,,,,
Telsis Systems Ltd,,,,,,
Telstra Global Ltd,,,,,,
TGC UK Ltd,,,,,,
The JNT Association,,,,,,
The Phone Company Ltd,,,,,,
TMI TeleMedia International Ltd,,,,,,
Torch Communications Ltd,,,,,,
"TotalTel International, Inc.",,,,,,
Unisource Holdings (UK),,,,,,
USA Global Link (UK) Ltd,,,,,,
Vodafone Ltd,,,,,,
Viatel UK Limited,,,,,,
Videotron No2 Ltd,,,,,,
VT Merlin Communications Limited,,,,,,
WaveCrest Communications Ltd,,,,,,
Worldcom UK Ltd,,,,,,
World Online UK Limited (a Tiscali company),,,,,,
WorldPort Communications Inc.,,,,,,
WorldxChange Communications Ltd,,,,,,
