METADATA,,,,,,,,,,,,,,,,,,,,,,,,
title.en,Bureaufax,,,,,,,,,,,,,,,,,,,,,,,
locale.part31a.en,PART III 1a,,,,,,,,,,,,,,,,,,,,,,,
locale.part31b_location.en,PART III 1b LOCATION,,,,,,,,,,,,,,,,,,,,,,,
locale.part31b_address.en,PART III 1b ADDRESS,,,,,,,,,,,,,,,,,,,,,,,
locale.part31b_notes.en,PART III 1b NOTES,,,,,,,,,,,,,,,,,,,,,,,
locale.part32.en,PART III 2,,,,,,,,,,,,,,,,,,,,,,,
locale.part32_notes.en,PART III 2 NOTES,,,,,,,,,,,,,,,,,,,,,,,
locale.part33.en,PART III 3,,,,,,,,,,,,,,,,,,,,,,,
locale.part33_notes.en,PART III 3 NOTES,,,,,,,,,,,,,,,,,,,,,,,
locale.part34a_mon_fri.en,PART III 4a (M-F),,,,,,,,,,,,,,,,,,,,,,,
locale.part34a_sat.en,PART III 4b (SAT),,,,,,,,,,,,,,,,,,,,,,,
locale.part34a_sun_pub.en,PART III 4c (SUN+PUB),,,,,,,,,,,,,,,,,,,,,,,
locale.monday.en,MON,,,,,,,,,,,,,,,,,,,,,,,
locale.tuesday.en,TUE,,,,,,,,,,,,,,,,,,,,,,,
locale.wednesday.en,WED,,,,,,,,,,,,,,,,,,,,,,,
locale.thursday.en,THURS,,,,,,,,,,,,,,,,,,,,,,,
locale.friday.en,FRI,,,,,,,,,,,,,,,,,,,,,,,
locale.saturday.en,SAT,,,,,,,,,,,,,,,,,,,,,,,
locale.sunday.en,SUN,,,,,,,,,,,,,,,,,,,,,,,
locale.public_holidays.en,PUBLIC_HOLIDAYS,,,,,,,,,,,,,,,,,,,,,,,
locale.availability_notes.en,AVAILABILITY NOTES,,,,,,,,,,,,,,,,,,,,,,,
locale.local_time.en,LOCAL TIME (UTC),,,,,,,,,,,,,,,,,,,,,,,
locale.cont_reception.en,CONTINUOUS RECEPTION,,,,,,,,,,,,,,,,,,,,,,,
locale.alt_int_bureaux.en,ALTERNATIVE MAIN INTERNATIONALBUREAUX,,,,,,,,,,,,,,,,,,,,,,,
locale.part34_notes.en,PART III 4 NOTES,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATA,type=array,,,,,,,,,,,,,,,,,,,,,,,
name,part31a,part31b_location,part31b_address,part31b_notes,part32,part32_notes,part33,part33_notes,part34a_mon_fri,part34a_sat,part34a_sun_pub,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holidays,availability_notes,local_time,cont_reception,alt_int_bureaux,part34_notes
Algeria,1000,ADRAR,,,+213 49 96 92 50,,3,,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800,0800-1800,0800-1800,0800-1500,-,0800-1800,0800-1800,-,,,,,
Algeria,2000,ECH-CHELIF,,,+213 27 77 77 26,,3,,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800,0800-1800,0800-1800,0800-1500,-,0800-1800,0800-1800,-,,,,,
Algeria,,LAGHOUAT,,,+213 29 93 28 45,,3,,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800,0800-1800,0800-1800,0800-1500,-,0800-1800,0800-1800,-,,,,,
Algeria,4000,OUM-EL-BOUAGHI,,,+213 32 42 18 69,,3,,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays,0800-1800,0800-1800,0800-1800,0800-1500,-,0800-1800,0800-1800,-,,,,,
