METADATA,,,,,,
title.en,ITU Country names mapping to ISO 3166-3 country codes,,,,,
title.fr,ITU Country names mapping to ISO 3166-3 country codes,,,,,
title.es,ITU Country names mapping to ISO 3166-3 country codes,,,,,
title.ru,ITU Country names mapping to ISO 3166-3 country codes,,,,,
title.zh,ITU Country names mapping to ISO 3166-3 country codes,,,,,
title.ar,ITU Country names mapping to ISO 3166-3 country codes,,,,,
locale.country_or_area.en,Country or area,,,,,
locale.country_or_area.fr,Pays ou zone,,,,,
locale.country_or_area.es,País o zona,,,,,
locale.country_or_area.ru,Страна или зона,,,,,
locale.country_or_area.zh,国家或区域,,,,,
locale.country_or_area.ar,البلد أو المنطقة ,,,,,
,,,,,,
DATA,,,,,,
iso_code,country_or_area.en,country_or_area.fr,country_or_area.es,country_or_area.zh,country_or_area.ru,country_or_area.ar
ABW,Aruba,Aruba,Aruba,Аруба ,阿鲁巴岛,آروبا
AFG,Afghanistan,Afghanistan,Afganistán,Афганистан ,阿富汗,أفغانستان
AGO,Angola (Republic of),Angola (République d'),Angola (República de),Ангола (Республика),安哥拉（共和国）,جمهورية أنغولا
AIA,Anguilla,Anguilla,Anguila,Ангилья ,安圭拉岛,أنغويلا 
ALB,Albania (Republic of),Albanie (République d'),Albania (República de),Албания (Республика),阿尔巴尼亚（共和国）,جمهورية ألبانيا
AND,Andorra (Principality of),Andorre (Principauté d'),Andorra (Principado de),Андорра (Княжество),安道尔（公国）,إمارة أندورا
ARE,United Arab Emirates,Emirats arabes unis,Emiratos Árabes Unidos,Объединенные Арабские Эмираты ,阿拉伯联合酋长国,الإمارات العربية المتحدة
ARG,Argentine Republic,Argentine (République),Argentina (República),Аргентинская Республика,阿根廷共和国,جمهورية الأرجنتين
ARM,Armenia (Republic of),Arménie (République d'),Armenia (República de),Армения (Республика),亚美尼亚（共和国）,جمهورية أرمينيا
ASM,American Samoa,Samoa américaines,Samoa Norteamericana,Американское Самоа ,美属萨摩亚,ساموا الأمريكية
