Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Ghana / GHA,,
ACG Telesystems Ghana Ltd.,WESTEL,Managing Director
"PMB, Accra-North",,Tel +233 21 701 0000
ACCRA,,Fax +233 21 701 0392
,,E-mail btaylor@ighmail.com
Celltel Ltd.,CELTEL,Ezer Yeboah-Boateng
"Technology Road, PO Box AN 10268",,Tel +233 28 210021
"Accra-North, ACCRA",,Fax +233 21 224202
,,E-mail celltel@africaonline.com.gh
Ghana Telecommunications Co. Ltd.,GT10GH,M.K. Apewokin
PO Box 32,,Tel +233 21 228480
ACCRA-NORTH,,Fax +233 21 220313
,,E-mail mapewokin@ghanatel.net
Millicom (Ghana) Ltd.,MOB1GH,Phil Hewitt
"Barnes Road, PMB-TUC",,Tel +233 27 555 988
ACCRA,,Fax +233 27 551 585
,,E-mail philhewitt@netscape.net
Scancom Ltd.,SCANCO,Michel Nasr
"Spacefon, PO Box 281",,Tel +233 24 301011
ACCRA,,Fax +233 21 231974
,,E-mail scancom@africaonline.com.gh
