Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Peru / PER,,
AT&T Perú S.A.,ATTPER,José Gandula
"Av. Victor Andrés Belaunde 147, Torre Real 6",,Tel +51 1 222 5555
"San Isidro, LIMA",,Fax +51 1 222 5560
,,E-mail
Atlantic International Telecommunication S.A.C.,ALTPER,Carlos Octavo Giredo
Av. Prokgacios Primevera No. 120,,Tel +51 1 372 7602
Sucre,,Fax
,,E-mail
Bellsouth Perú S.A.,BELPER,Rafael Muenba Schwaiz
Av. Javier Prado Este 3190,,Tel +51 1 955 2000
"San Borja, LIMA",,Fax +51 1 955 2001
,,E-mail
Biper Express S.A.C.,BIPPER,Maria Maca de Habich
Av. Las Olvas No. 123,,Tel +51 1 421 3179
"San Isidro, LIMA",,Fax
,,E-mail
CIFSA Telecom S.A.C.,CIFPER,Oscar Emilio Benavides
Manuel del Fino 699,,Tel +51 1 470 8212
Santa Beatriz,,Fax
,,E-mail
Compañia Telefonica Andiña S.A.,CTAPER,José Salvador Raggio Reyna
"Av. Camino Real 390, OI. 120I.",,Tel +51 1 421 1341
"San Isidro, LIMA",,Fax +51 1 421 1503
,,E-mail
Consultoria y Gestion de Telecomunicaciones S.A.,CIGPER,Carlos Julio Garcia Arrijos
Av. Pramanan No. 870,,Tel +51 1 372 5888
"Sucre, LIMA",,Fax +51 1 372 5616
,,E-mail
Convergia S.A.,CONPER,Lorenzo Bilar Chacra
Av. Javier Prado,,Tel +51 1 434 3497
La Molina - LIMA,,Fax +51 1 437 0544
,,E-mail
Corix Perú S.A.,CORPER,Oscar Vasquez Lama
Calle Rodin No. 182,,Tel +51 1 225 1531
"San Borja, LIMA",,Fax
,,E-mail
Dgital Way S.A.,DIGPER,José Antonio de Izcue Arnilas
Av. Sabasllin Telleria No. 306,,Tel +51 1 222 8684
"San Isidro, LIMA",,Fax
,,E-mail
Ditel Corporation S.A.C.,DITPER,Poir Navarochi Karín
Calle San Juan No. 705,,Tel +51 1 372 1368
"Sucre, LIMA",,Fax
,,E-mail
Elnath S.A.,ELNPER,Manuel Ortiz de Zevallos
Las Casiahilas No. 138,,Tel +51 1 222 8555
"San Isidro, LIMA",,Fax +51 1 422 9801
,,E-mail
Full Line S.A.,FULPER,Germán Leguia Drego
"Calle Mota No. 170, Via San Antonio",,Tel +51 1 440 3442
"Mireflores, LIMA",,Fax
,,E-mail
Gamacon S.r.l.,GAMPER,Jaime Rogelo Blanco
"Av. Del Parque Sur No. 185, OI. 505",,Tel +51 1 224 7053
"San Isidro, LIMA",,Fax
,,E-mail
Gilat To Home S.A.,GTHPER,Jacob Segev
"Av. Rivara Navanreta No. 525, Piso 7",,Tel +51 1 222 4000
"San Isidro, LIMA",,Fax +51 1 222 6688
,,E-mail
Heilsberg Perú S.A.C.,HEIPER,Julio F. Borriaz Mariza
Calle Rodin,,Tel +51 1 224 2499
"San Borja, LIMA",,Fax
,,E-mail
Impsat Peru S.A.,IMPPER,Helmoth Iván Jara Albornaz
Av. Canavaly Moreyna 380 piso 21,,Tel +51 1 411 5900
"San Isidro, LIMA",,Fax
,,E-mail
Infoductos y Telecomunicaciones del PerúmS.A.,INFPER,Ricardo Toledo Vega
Calle Augusto Tanayo No. 125,,Tel +51 1 421 7687
"San Isidro, LIMA",,Fax
,,E-mail
Ivbarra S.A.,IVBPER,Alejandro Harrison Iberra
"Las Carallisa No. 271, Urb. Camacho",,Tel +51 1 437 8833
"La Molina, LIMA",,Fax
,,E-mail
Justice Telecom International S.R.L.,JUSPER,Albario Santander Espinoza
Av. Las Begonias No. 475,,Tel +51 1 461 8748
"San Isidro, LIMA",,Fax +51 1 461 8083
,,E-mail
Limatel S.A.,LIMPER,Luis Navarro Rodriguez
Av. Camino Real No. 111,,Tel +51 1 441 4444
"San Isidro, LIMA",,Fax
,,E-mail
Netcall Peru S.A.C.,NETPER,Enrique Quimper Ingunza
Nano Segundo No. 2655,,Tel +51 1 221 2469
"Lince, LIMA",,Fax
,,E-mail
Nortek Communication S.A.C.,NORPER,José Emilio Ramirez Muñante
"Av. Camino Real No. 396, Torre Central piso6",,Tel +51 1 222 4905
"San Isidro, LIMA",,Fax
,,E-mail
Omeño Comunicaciones S.A.,ORMPER,Josquin Ornero Cabrera
Av. Javier Prado No. 1059,,Tel +51 1 955 0058
"La Victoria, LIMA",,Fax
,,E-mail
Orbita Peru S.A.C.,OTAPER,Manuel ernesto Cardena
A. Javier Prado Este No. 4307,,Tel +51 1 436 4135
"Negocio, LIMA",,Fax
,,E-mail
Orbitel Perú S.A.,OELPER,Alvare Alonso Garcia Leiva
"Av. Casino Real No. 348, Torre El Pilar",,Tel +51 1 222 7700
"San Isidro, LIMA",,Fax
,,E-mail
Perusay S.A.,PERPER,Enrique Manuel Palados
Av. Benavides No. 210,,Tel +51 1 444 7722
"Miraflores, LIMA",,Fax +51 1 444 9017
,,E-mail
Telecomunicaciones Andinas S.A.,TASPER,Ateo Escobar Zarnaloa
Av. Camino Real 490,,Tel +51 1 222 8497
"San Isidro, LIMA",,Fax
,,E-mail
Telefónica del Peru S.A.A.,TDPPER,Jorge Melo Vega
Av. Arequipa 1155,,Tel +51 1 470 1616
"Sta. Beatriz, LIMA",,Fax +51 1 470 0766
,,E-mail
Telematic Comunicaciones S.A.C.,TELPER,Pio Fernando Barños Ipenza
"Jr. Janin No.355,Miraflores",,Tel +51 1 241 7600
LIMA,,Fax
,,E-mail
TES.A.M. Peru S.A.,TESPER,Carlos Franco
Odricola 128,,Tel +51 1 440 5807
"San Isidro, LIMA",,Fax +51 1 440 3674
,,E-mail
Tim Peru S.A.C.,TIMPER,Fruciuoso Fernando Rivera F.
Las Camalisa No. 760,,Tel +51 1 421 3193
"San Isidro, LIMA",,Fax +51 1 421 3196
,,E-mail
Vitcom Peru S.A.,VITPER,David German Guerra Gomez
Calle Los Pinos No. 519,,Tel +51 1 222 4814
"San Isidro, LIMA",,Fax +51 1 422 0587
,,E-mail
