Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Guadeloupe (French Department of) / GLP,,
Dauphin Telecom,DAUF,Alain Haillant
"7, rue Perrinon, B.P. 3371 Marigot",,Tel +590 590 77 00 40
F-97068 SAINT-MARTIN,,Fax +590 590 87 30 34
,,E-mail
Orange Caraibe,ORCA,Patrick Calvat
BP 2203,,Tel +590 590 38 53 00
F-97196 JARRY CEDEX,,Fax +590 590 38 51 00
,,E-mail
Saint Martin & Saint Barthelemy Tell Cell,STMB,Philippe Verdier
B.P. 4278,,Tel +599 522 54 91
F-97166 SAINT MARTIN CEDEX,,Fax
,,E-mail
Saint Martin Mobiles,SMM,Sylvianne Emile
BP 10 Marigot,,Tel +590 590 87 16 16
F-97051 SAINT-MARTIN,,Fax +590 590 87 16 18
,,E-mail
XTS Network Caraibes,XTCA,Pascal Bono
7 rue du Mont Valérien,,Tel +33 1 55 49 38 38
F-92150 SURESNES,,Fax +33 1 55 49 38 39
,,E-mail
