Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
San Marino (Republic of) / SMR,,
San Marino Telecom S.p.A.,SMT,Andrea Della Balda
Strada del Lavoro 37,,Tel +378 0549 999 114
GUALDICCIOLO 47892,,Fax +378 0549 999 890
,,E-mail info@smt.sm
Telecom Italia San Marino S.p.A.,TISM,Cesare Pisani
"Strada Degli Angariari, 3",,Tel +378 0549 886111
ROVERETA 47891,,Fax +378 0549 886188
,,E-mail secretary@telecomitalia.sm
Telefonia Mobile Sammarinese S.p.A.,TMS,Giuseppe Della Balda
"Via XXVIII Luglío, 148",,Tel +378 0549 980222
47893 BORGO MAGGIORE,,Fax +378 0549 980044
,,E-mail info@tms.sm
Telenet s.r.l.,TELNET,Pier Giovanni Terenzi
"Strada degli Angariari, 21",,Tel +378 0549 888810
47891 ROVERETA,,Fax +378 0549 888825
,,E-mail info@telenet.sm
