Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Indonesia (Republic of) / IDN,,
PT INDOSAT (Persero) TBK,INDSAT,J. Ken Rahendra
"Jalan Medan Merdeka Barat No. 21, POBox 2905",,Tel +62 21 386 9512
JAKARTA 10110,,Fax +62 21 384 8107
,,E-mail jkr@indosat.com
PT Satelit Palapa Indonesia (PT Satelindo),SALIDO,
Jalan HR. Rasuna Said Kav X6 No. 8,,Tel +62 21 545 1745
JAKARTA 12940,,Fax +62 21 545 1748
,,E-mail
PT Telekomunikasi Indonesia Tbk,TLK,Corporate Secretary
Jl. Japati No. 1,,Tel +62 22 452 7252
BANDUNG 40133,,Fax +62 22 720 3247
,,E-mail
